Index,Tour_Name,Tour_Type,Number_of_Reviewer,Rating,Duration,Price,Highlight,Location
1,Phare: The Cambodian Circus Show in Siem Reap,Comedy Shows,992,5,1,18,"Siem Reap's most original, authentic live performance., Entry/Admission - Phare, The Cambodian Circus","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
2,Khmer Gourmet Cooking Class,Cooking Classes,55,5,3,21.5,In-person guide,"Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
3,Koh Ker & Beng Mealea Full-Day Join-in Tour,Full-day Tours,288,5,10,50,"Cold towels & Bottled water, Professional English-speaking guide, Hotel pickup (7:40am to 8:10am) & Drop off (6pm), Transport by luxury air-conditioned minivan","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets"
4,"Kampot Day Tour ""Bokor National Park""",Adventure Tours,18,4.5,5,36,"Transportation: Tuk Tuk, English speaking driver, Cold water","Asia, Cambodia, Kampot Province, Kampot, Things to Do in Kampot, Kampot Tours, Tours and Tickets"
5,Bike the Siem Reap Countryside with Local Expert,Adventure Tours,308,5,5,35,"Hotel pick up & Drop Off, Professional local English speaking guide, Mountain bike & Helmet, Local snacks and fruits, Cold Towels, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
6,Explore Battambang full day tour by Tuk Tuk (start from 9am-6:30pm),Full-day Tours,74,5,10,20,"Bottled water, Include Entrance fee of killing cave and bat cave, Included: all snacks to test samples on the way and donation to the local family, Entry/Admission - Phnom Sampeau, Entry/Admission - Battambang Bat Caves","Asia, Cambodia, Battambang Province, Battambang, Things to Do in Battambang, Battambang Tours, Tours and Tickets"
7,Award-Winning Cooking Class Experience with Professional Teacher,Cooking Classes,205,5,3,25,"Cooking class with a professional chef, Lunch or Dinner prepared during the class","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
8,2-Day Angkor Wat and Banteay Srei Temple Tour,Bus Tours,33,5,48,55,"Vaccinated English speaking tour guide & driver, Breakfast, Air-conditioned transportation ( Car/Minivan/Bus), Free cool water and towels during the tour, Breakfast ( Taste authentic dish with traditional dessert) Only Day 1","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
9,The 10 Tastings of Siem Reap With Locals: Private Street Food Tour,Walking Tours,24,5,3,36.87,"Private Tour, Local Guide, 10 Food & Drinks Tastings, Vegetarian alternatives","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
10,Ultimate Siem Reap Food Tour (10 Locals Tasting with Drinks & Transport),Food Tours,31,5,3,45,"Private transportation, Free Flow, Test the 10 best hand picked local tasting, Passionate Foodie Host","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
